Name,Province,Region,Start Date,End Date,Currently Active
Hamilton West,Ontario,Hamilton,1904-09-20,2004-05-22,Not Active
Hastings--Frontenac--Lennox and Addington,Ontario,,1997-04-27,2004-05-22,Not Active
Hillsborough,Prince Edward Island,,1968-04-23,2004-05-22,Not Active
Hochelaga--Maisonneuve,Quebec,Montreal Island,1979-03-26,2004-05-22,Not Active
Jonquière,Quebec,,1979-03-26,2004-05-22,Not Active
"Kamloops, Thompson and Highland Valleys",British Columbia,,1998-06-18,2004-05-22,Not Active
Kamouraska--Rivière-du-Loup--Témiscouata--Les Basques,Quebec,,1997-04-27,2004-05-22,Not Active
Kenora--Rainy River,Ontario,,1925-09-05,2004-05-22,Not Active
Kootenay--Boundary--Okanagan,British Columbia,,1998-06-18,2004-05-22,Not Active
Lac-Saint-Jean--Saguenay,Quebec,,2000-06-29,2004-05-22,Not Active
Lakeland,Alberta,,1997-04-27,2004-05-22,Not Active
Lambton--Kent--Middlesex,Ontario,,1997-04-27,2004-05-22,Not Active
Lanark--Carleton,Ontario,,1988-10-01,2004-05-22,Not Active
Langley--Abbotsford,British Columbia,Vancouver Region,1997-04-27,2004-05-22,Not Active
Laurentides,Quebec,,1988-10-01,2004-05-22,Not Active
Laurier--Sainte-Marie,Quebec,Montreal Island,1988-10-01,2004-05-22,Not Active
Laval Centre,Quebec,Laval,1990-12-19,2004-05-22,Not Active
Laval East,Quebec,Laval,1990-12-19,2004-05-22,Not Active
Laval West,Quebec,Laval,1990-12-19,2004-05-22,Not Active
Lévis-et-Chutes-de-la-Chaudière,Quebec,Québec Region,1998-06-18,2004-05-22,Not Active
Lotbinière--L'Érable,Quebec,,2000-06-29,2004-05-22,Not Active
Markham,Ontario,,1997-04-27,2004-05-22,Not Active
Mercier,Quebec,Montreal Island,1988-10-01,2004-05-22,Not Active
Mississauga Centre,Ontario,Mississauga-Brampton,1997-04-27,2004-05-22,Not Active
Mississauga East,Ontario,Mississauga-Brampton,1988-10-01,2004-05-22,Not Active
Mississauga West,Ontario,Mississauga-Brampton,1988-10-01,2004-05-22,Not Active
New Brunswick Southwest,New Brunswick,,1998-06-18,2004-05-22,Not Active
New Westminster--Coquitlam--Burnaby,British Columbia,Vancouver Region,1997-04-27,2004-05-22,Not Active
Niagara Centre,Ontario,,1997-04-27,2004-05-22,Not Active
Nipissing,Ontario,,1896-04-24,2004-05-22,Not Active
Northumberland,Ontario,,1979-03-26,2004-05-22,Not Active
Oak Ridges,Ontario,,1997-04-27,2004-05-22,Not Active
Okanagan--Shuswap,British Columbia,,1997-04-27,2004-05-22,Not Active
Papineau--Saint-Denis,Quebec,Montreal Island,1997-04-27,2004-05-22,Not Active
Perth--Middlesex,Ontario,,1997-04-27,2004-05-22,Not Active
Pickering--Ajax--Uxbridge,Ontario,,1997-04-27,2004-05-22,Not Active
Pictou--Antigonish--Guysborough,Nova Scotia,,1997-04-27,2004-05-22,Not Active
Pontiac--Gatineau--Labelle,Quebec,,1979-03-26,2004-05-22,Not Active
Port Moody--Coquitlam--Port Coquitlam,British Columbia,Vancouver Region,1998-06-18,2004-05-22,Not Active
Prince George--Bulkley Valley,British Columbia,,1979-03-26,2004-05-22,Not Active
Québec East,Quebec,Québec Region,1997-04-27,2004-05-22,Not Active
Rimouski-Neigette-et-La Mitis,Quebec,,2000-06-29,2004-05-22,Not Active
Rosemont--Petite-Patrie,Quebec,Montreal Island,2000-06-29,2004-05-22,Not Active
Sackville--Musquodoboit Valley--Eastern Shore,Nova Scotia,,1999-03-11,2004-05-22,Not Active
Saint-Maurice,Quebec,,1968-04-23,2004-05-22,Not Active
Scarborough East,Ontario,Scarborough,1968-04-23,2004-05-22,Not Active
Skeena,British Columbia,,1917-10-06,2004-05-22,Not Active
South Shore,Nova Scotia,,1968-04-23,2004-05-22,Not Active
South Surrey--White Rock--Langley,British Columbia,Vancouver Region,1997-04-27,2004-05-22,Not Active
St. Albert,Alberta,,1988-10-01,2004-05-22,Not Active
St. John's East,Newfoundland and Labrador,St. John's (NF),1988-10-01,2004-05-22,Not Active
St. John's West,Newfoundland and Labrador,St. John's (NF),1988-10-01,2004-05-22,Not Active
Stoney Creek,Ontario,,1997-04-27,2004-05-22,Not Active
Stormont--Dundas--Charlottenburgh,Ontario,,1999-03-11,2004-05-22,Not Active
Surrey Central,British Columbia,Vancouver Region,1997-04-27,2004-05-22,Not Active
Témiscamingue,Quebec,,1997-04-27,2004-05-22,Not Active
Thunder Bay--Atikokan,Ontario,Thunder Bay,1979-03-26,2004-05-22,Not Active
Timiskaming--Cochrane,Ontario,,1997-04-27,2004-05-22,Not Active
Toronto Centre--Rosedale,Ontario,Toronto (City),1997-04-27,2004-05-22,Not Active
Vancouver South--Burnaby,British Columbia,Vancouver Region,1997-04-27,2004-05-22,Not Active
Vaughan--King--Aurora,Ontario,,1997-04-27,2004-05-22,Not Active
Verdun--Saint-Henri--Saint-Paul--Pointe Saint-Charles,Quebec,Montreal Island,2000-06-29,2004-05-22,Not Active
Waterloo--Wellington,Ontario,Kitchener-Waterloo,1997-04-27,2004-05-22,Not Active
West Nova,Nova Scotia,,1998-06-18,2004-05-22,Not Active
Whitby--Ajax,Ontario,,1997-04-27,2004-05-22,Not Active
Windsor--St. Clair,Ontario,Windsor,1997-04-27,2004-05-22,Not Active
Winnipeg North Centre,Manitoba,Winnipeg,1997-04-27,2004-05-22,Not Active
Winnipeg North--St. Paul,Manitoba,Winnipeg,1997-04-27,2004-05-22,Not Active
Winnipeg South Centre,Manitoba,Winnipeg,1988-10-01,2004-05-22,Not Active
Winnipeg--Transcona,Manitoba,Winnipeg,1997-04-27,2004-05-22,Not Active
York North,Ontario,Toronto (City),1867-08-06,2004-05-22,Not Active
Argenteuil--Mirabel,Quebec,,2004-05-23,2004-08-31,Not Active
Athabasca,Alberta,,1968-04-23,2004-08-31,Not Active
Beauport,Quebec,,2004-05-23,2004-08-31,Not Active
Bonavista--Exploits,Newfoundland and Labrador,,2004-05-23,2004-08-31,Not Active
Calgary North Centre,Alberta,Calgary,2004-05-23,2004-08-31,Not Active
Calgary South Centre,Alberta,Calgary,2004-05-23,2004-08-31,Not Active
Carleton--Lanark,Ontario,,2004-05-23,2004-08-31,Not Active
Charlesbourg,Quebec,Québec Region,2004-05-23,2004-08-31,Not Active
Charleswood--St. James,Manitoba,,2004-05-23,2004-08-31,Not Active
Charlevoix--Montmorency,Quebec,,2004-05-23,2004-08-31,Not Active
Churchill River,Saskatchewan,,1997-04-27,2004-08-31,Not Active
Clarington--Scugog--Uxbridge,Ontario,,2004-05-23,2004-08-31,Not Active
Dauphin--Swan River,Manitoba,,1983-05-11,2004-08-31,Not Active
Dewdney--Alouette,British Columbia,Vancouver Region,1997-04-27,2004-08-31,Not Active
Edmonton--Beaumont,Alberta,Edmonton,2004-05-23,2004-08-31,Not Active
Fundy,New Brunswick,,2004-05-23,2004-08-31,Not Active
Grey--Bruce--Owen Sound,Ontario,,2004-05-23,2004-08-31,Not Active
Kamloops--Thompson,British Columbia,,2004-05-23,2004-08-31,Not Active
Kelowna,British Columbia,,1997-04-27,2004-08-31,Not Active
Kitchener--Conestoga,Ontario,Kitchener-Waterloo,2004-05-23,2004-08-31,Not Active
Laurier,Quebec,,2004-05-23,2004-08-31,Not Active
Longueuil,Quebec,Montreal Region,1953-06-13,2004-08-31,Not Active
Matapédia--Matane,Quebec,,1979-03-26,2004-08-31,Not Active
Middlesex--Kent--Lambton,Ontario,,2004-05-23,2004-08-31,Not Active
North Nova,Nova Scotia,,2004-05-23,2004-08-31,Not Active
North Okanagan--Shuswap,British Columbia,,2004-05-23,2004-08-31,Not Active
Nunavik--Eeyou,Quebec,,2004-05-23,2004-08-31,Not Active
Portneuf,Quebec,Québec Region,1867-08-06,2004-08-31,Not Active
Richelieu,Quebec,,2004-05-23,2004-08-31,Not Active
Rimouski--Témiscouata,Quebec,,2004-05-23,2004-08-31,Not Active
Rivière-du-Loup--Montmagny,Quebec,,2004-05-23,2004-08-31,Not Active
Roberval,Quebec,,1949-04-30,2004-08-31,Not Active
Southern Interior,British Columbia,,2004-05-23,2004-08-31,Not Active
St. Croix--Belleisle,New Brunswick,,2004-05-23,2004-08-31,Not Active
St. John's North,Newfoundland and Labrador,,2004-05-23,2004-08-31,Not Active
St. John's South,Newfoundland and Labrador,,2004-05-23,2004-08-31,Not Active
West Vancouver--Sunshine Coast,British Columbia,Vancouver Region,1997-04-27,2004-08-31,Not Active
Westlock--St. Paul,Alberta,,2004-05-23,2004-08-31,Not Active
Battle River,Alberta,Edmonton,2004-09-01,2005-02-23,Not Active
Kitchener--Wilmot--Wellesley--Woolwich,Ontario,Kitchener-Waterloo,2004-09-01,2005-02-23,Not Active
Centre-du-bas-Saint-Laurent,Quebec,,2013-01-01,2015-01-01,Not Active
Charlevoix--Montmorency,Quebec,,2013-01-01,2015-01-01,Not Active
Chicoutimi,Quebec,,2013-01-01,2015-01-01,Not Active
Dorval--Lachine,Quebec,Montreal Island,2013-01-01,2015-01-01,Not Active
Grande Prairie,Alberta,,2013-01-01,2015-01-01,Not Active
Humboldt--Warman--Martensville--Rosetown,Saskatchewan,,2013-01-01,2015-01-01,Not Active
Lanark--Frontenac,Ontario,,2013-01-01,2015-01-01,Not Active
LaSalle--Verdun,Quebec,Montreal Island,2013-01-01,2015-01-01,Not Active
Lemoyne,Quebec,,2013-01-01,2015-01-01,Not Active
Longueuil,Quebec,Montreal Region,2013-01-01,2015-01-01,Not Active
Mississauga--Cooksville,Ontario,Mississauga-Brampton,2013-01-01,2015-01-01,Not Active
Red Deer--Wolf Creek,Alberta,,2013-01-01,2015-01-01,Not Active
Rideau--Carleton,Ontario,,2013-01-01,2015-01-01,Not Active
Saanich--Esquimalt--Juan de Fuca,British Columbia,,2013-01-01,2015-01-01,Not Active
Soulanges--Vaudreuil,Quebec,,2013-01-01,2015-01-01,Not Active
St. Paul's,Ontario,,2013-01-01,2015-01-01,Not Active
Vancouver Island North--Comox--Powell River,British Columbia,Vancouver Island,2013-01-01,2015-01-01,Not Active
Ville-Marie,Quebec,Montreal Island,2013-01-01,2015-01-01,Not Active
Ahuntsic,Quebec,Montreal Island,1988-10-01,2015-08-01,Not Active
Ajax--Pickering,Ontario,Toronto (City),2004-05-23,2015-08-01,Not Active
Ancaster--Dundas--Flamborough--Westdale,Ontario,Hamilton,2004-05-23,2015-08-01,Not Active
Argenteuil--Papineau--Mirabel,Quebec,,2004-09-01,2015-08-01,Not Active
Barrie,Ontario,,2004-05-23,2015-08-01,Not Active
Barrie--Simcoe,Ontario,,1997-04-27,2015-08-01,Not Active
Bas-Richelieu--Nicolet--Bécancour,Quebec,,2004-09-01,2015-08-01,Not Active
Beauharnois--Salaberry,Quebec,,1979-03-26,2015-08-01,Not Active
Blackstrap,Saskatchewan,Saskatoon,1997-04-27,2015-08-01,Not Active
Bonavista--Gander--Grand Falls--Windsor,Newfoundland and Labrador,,2004-09-01,2015-08-01,Not Active
Bramalea--Gore--Malton,Ontario,Mississauga-Brampton,2004-05-23,2015-08-01,Not Active
Brampton--Springdale,Ontario,Mississauga-Brampton,2004-05-23,2015-08-01,Not Active
Brant,Ontario,,1968-04-23,2015-08-01,Not Active
British Columbia Southern Interior,British Columbia,,2004-09-01,2015-08-01,Not Active
Brossard--La Prairie,Quebec,Montreal Region,1997-04-27,2015-08-01,Not Active
Burnaby--Douglas,British Columbia,Vancouver (City),1997-04-27,2015-08-01,Not Active
Burnaby--New Westminster,British Columbia,Vancouver (City),2004-05-23,2015-08-01,Not Active
Calgary Centre-North,Alberta,Calgary,2004-09-01,2015-08-01,Not Active
Calgary East,Alberta,Calgary,1997-04-27,2015-08-01,Not Active
Calgary Northeast,Alberta,Calgary,1988-10-01,2015-08-01,Not Active
Calgary Southeast,Alberta,Calgary,1988-10-01,2015-08-01,Not Active
Calgary Southwest,Alberta,Calgary,1988-10-01,2015-08-01,Not Active
Calgary West,Alberta,Calgary,1979-03-26,2015-08-01,Not Active
Calgary--Nose Hill,Alberta,Calgary,1997-04-27,2015-08-01,Not Active
Carleton--Mississippi Mills,Ontario,Ottawa-Gatineau,2004-09-01,2015-08-01,Not Active
Chambly--Borduas,Quebec,,2004-05-23,2015-08-01,Not Active
Charleswood--St. James--Assiniboia,Manitoba,Winnipeg,2004-09-01,2015-08-01,Not Active
Châteauguay--Saint-Constant,Quebec,Montreal Region,2004-05-23,2015-08-01,Not Active
Chatham-Kent--Essex,Ontario,,1998-06-18,2015-08-01,Not Active
Chicoutimi--Le Fjord,Quebec,,2000-06-29,2015-08-01,Not Active
Chilliwack--Fraser Canyon,British Columbia,,2004-05-23,2015-08-01,Not Active
Churchill,Manitoba,,1935-08-14,2015-08-01,Not Active
Crowfoot,Alberta,,1968-04-23,2015-08-01,Not Active
Cumberland--Colchester--Musquodoboit Valley,Nova Scotia,Halifax,2004-09-01,2015-08-01,Not Active
Dauphin--Swan River--Marquette,Manitoba,,2004-09-01,2015-08-01,Not Active
Delta--Richmond East,British Columbia,Vancouver (City),2004-05-23,2015-08-01,Not Active
Edmonton East,Alberta,Edmonton,2004-05-23,2015-08-01,Not Active
Edmonton--Leduc,Alberta,Edmonton,2004-05-23,2015-08-01,Not Active
Edmonton--Mill Woods--Beaumont,Alberta,Edmonton,2004-09-01,2015-08-01,Not Active
Edmonton--Sherwood Park,Alberta,Edmonton,2004-05-23,2015-08-01,Not Active
Edmonton--Spruce Grove,Alberta,Edmonton,2004-05-23,2015-08-01,Not Active
Edmonton--St. Albert,Alberta,Edmonton,2004-05-23,2015-08-01,Not Active
Edmonton--Strathcona,Alberta,Edmonton,1953-06-13,2015-08-01,Not Active
Esquimalt--Juan de Fuca,British Columbia,Victoria,1988-10-01,2015-08-01,Not Active
Fort McMurray--Athabasca,Alberta,,2004-09-01,2015-08-01,Not Active
Gaspésie--Îles-de-la-Madeleine,Quebec,,2004-05-23,2015-08-01,Not Active
Halton,Ontario,Toronto (City),1997-04-27,2015-08-01,Not Active
Haute-Gaspésie--La Mitis--Matane--Matapédia,Quebec,,2004-09-01,2015-08-01,Not Active
Humber--St. Barbe--Baie Verte,Newfoundland and Labrador,,1997-04-27,2015-08-01,Not Active
Jeanne-Le Ber,Quebec,Montreal Island,2004-05-23,2015-08-01,Not Active
Jonquière--Alma,Quebec,,2004-05-23,2015-08-01,Not Active
Kitchener--Waterloo,Ontario,Kitchener-Waterloo,1997-04-27,2015-08-01,Not Active
Lanark--Frontenac--Lennox and Addington,Ontario,,2004-05-23,2015-08-01,Not Active
Langley,British Columbia,Vancouver (City),2004-05-23,2015-08-01,Not Active
LaSalle--Émard,Quebec,Montreal Island,1988-10-01,2015-08-01,Not Active
Laval,Quebec,Laval,2004-05-23,2015-08-01,Not Active
Leeds--Grenville,Ontario,,1979-03-26,2015-08-01,Not Active
Lévis--Bellechasse,Quebec,Québec Region,2004-05-23,2015-08-01,Not Active
Longueuil--Pierre-Boucher,Quebec,Montreal Region,2004-09-01,2015-08-01,Not Active
Lotbinière--Chutes-de-la-Chaudière,Quebec,Québec Region,2004-05-23,2015-08-01,Not Active
Macleod,Alberta,,1988-10-01,2015-08-01,Not Active
Marc-Aurèle-Fortin,Quebec,Laval,2004-05-23,2015-08-01,Not Active
Medicine Hat,Alberta,,1908-09-17,2015-08-01,Not Active
Miramichi,New Brunswick,,1988-10-01,2015-08-01,Not Active
Mississauga East--Cooksville,Ontario,Mississauga-Brampton,2004-05-23,2015-08-01,Not Active
Mississauga South,Ontario,Mississauga-Brampton,1979-03-26,2015-08-01,Not Active
Mississauga--Brampton South,Ontario,Mississauga-Brampton,2004-05-23,2015-08-01,Not Active
Mississauga--Erindale,Ontario,Mississauga-Brampton,2004-05-23,2015-08-01,Not Active
Montmorency--Charlevoix--Haute-Côte-Nord,Quebec,Québec Region,2004-09-01,2015-08-01,Not Active
Mount Royal,Quebec,Montreal Island,1988-10-01,2015-08-01,Not Active
Nanaimo--Alberni,British Columbia,Vancouver Island,1997-04-27,2015-08-01,Not Active
Nanaimo--Cowichan,British Columbia,Vancouver Island,1988-10-01,2015-08-01,Not Active
Nepean--Carleton,Ontario,Ottawa-Gatineau,1997-04-27,2015-08-01,Not Active
New Westminster--Coquitlam,British Columbia,Vancouver (City),2004-05-23,2015-08-01,Not Active
Newton--North Delta,British Columbia,Vancouver (City),2004-05-23,2015-08-01,Not Active
Niagara West--Glanbrook,Ontario,Hamilton,2004-05-23,2015-08-01,Not Active
Northumberland--Quinte West,Ontario,,2004-05-23,2015-08-01,Not Active
Notre-Dame-de-Grâce--Lachine,Quebec,Montreal Island,1997-04-27,2015-08-01,Not Active
Oak Ridges--Markham,Ontario,Toronto (City),2004-05-23,2015-08-01,Not Active
Okanagan--Coquihalla,British Columbia,,1997-04-27,2015-08-01,Not Active
Okanagan--Shuswap,British Columbia,,2004-09-01,2015-08-01,Not Active
Ottawa--Orléans,Ontario,Ottawa-Gatineau,2000-06-29,2015-08-01,Not Active
Palliser,Saskatchewan,Regina,1997-04-27,2015-08-01,Not Active
Peace River,Alberta,,1925-09-05,2015-08-01,Not Active
Peterborough,Ontario,,1953-06-13,2015-08-01,Not Active
Pickering--Scarborough East,Ontario,Scarborough,2004-05-23,2015-08-01,Not Active
Pitt Meadows--Maple Ridge--Mission,British Columbia,Vancouver (City),2004-09-01,2015-08-01,Not Active
Port Moody--Westwood--Port Coquitlam,British Columbia,Vancouver (City),2004-05-23,2015-08-01,Not Active
Prince Edward--Hastings,Ontario,,1979-03-26,2015-08-01,Not Active
Prince George--Peace River,British Columbia,,1979-03-26,2015-08-01,Not Active
Random--Burin--St. George's,Newfoundland and Labrador,,2004-05-23,2015-08-01,Not Active
Red Deer,Alberta,,1908-09-17,2015-08-01,Not Active
Regina--Lumsden--Lake Centre,Saskatchewan,Regina,1997-04-27,2015-08-01,Not Active
Richmond,British Columbia,Vancouver (City),1988-10-01,2015-08-01,Not Active
Rimouski-Neigette--Témiscouata--Les Basques,Quebec,,2004-09-01,2015-08-01,Not Active
Roberval--Lac-Saint-Jean,Quebec,,2004-09-01,2015-08-01,Not Active
Sackville--Eastern Shore,Nova Scotia,Halifax,2004-05-23,2015-08-01,Not Active
Saint Boniface,Manitoba,Winnipeg,1997-04-27,2015-08-01,Not Active
Saint John,New Brunswick,,1988-10-01,2015-08-01,Not Active
Saint-Bruno--Saint-Hubert,Quebec,Montreal Region,1997-04-27,2015-08-01,Not Active
Saint-Lambert,Quebec,Montreal Region,1997-04-27,2015-08-01,Not Active
Saint-Laurent--Cartierville,Quebec,Montreal Island,1989-12-29,2015-08-01,Not Active
Saskatoon--Humboldt,Saskatchewan,Saskatoon,1988-10-01,2015-08-01,Not Active
Saskatoon--Rosetown--Biggar,Saskatchewan,Saskatoon,1997-04-27,2015-08-01,Not Active
Saskatoon--Wanuskewin,Saskatchewan,Saskatoon,2000-06-29,2015-08-01,Not Active
Scarborough--Rouge River,Ontario,Scarborough,1988-10-01,2015-08-01,Not Active
Selkirk--Interlake,Manitoba,,1997-04-27,2015-08-01,Not Active
South Shore--St. Margaret's,Nova Scotia,,2004-05-23,2015-08-01,Not Active
South Surrey--White Rock--Cloverdale,British Columbia,Vancouver (City),2004-05-23,2015-08-01,Not Active
St. Paul's,Ontario,Toronto (City),1968-04-23,2015-08-01,Not Active
Surrey North,British Columbia,Vancouver (City),1988-10-01,2015-08-01,Not Active
Terrebonne--Blainville,Quebec,Montreal Region,1997-04-27,2015-08-01,Not Active
Trinity--Spadina,Ontario,Toronto (City),1988-10-01,2015-08-01,Not Active
Vancouver Island North,British Columbia,Vancouver Island,1997-04-27,2015-08-01,Not Active
Vaudreuil--Soulanges,Quebec,Montreal Region,1997-04-27,2015-08-01,Not Active
Vaughan,Ontario,Toronto (City),2004-05-23,2015-08-01,Not Active
Vegreville--Wainwright,Alberta,,2004-05-23,2015-08-01,Not Active
Verchères--Les Patriotes,Quebec,Montreal Region,1998-06-18,2015-08-01,Not Active
Wascana,Saskatchewan,Regina,1997-04-27,2015-08-01,Not Active
Welland,Ontario,,2004-05-23,2015-08-01,Not Active
Western Arctic,Northwest Territories,,1979-03-26,2015-08-01,Not Active
Westlock--St. Paul,Alberta,Edmonton,2005-02-24,2015-08-01,Not Active
Westmount--Ville-Marie,Quebec,Montreal Island,1997-04-27,2015-08-01,Not Active
Wetaskiwin,Alberta,,1925-09-05,2015-08-01,Not Active
Whitby--Oshawa,Ontario,,2004-05-23,2015-08-01,Not Active
Wild Rose,Alberta,,1988-10-01,2015-08-01,Not Active
York West,Ontario,Toronto (City),1917-10-06,2015-08-01,Not Active
Abbotsford,British Columbia,,2004-05-23,,Active
Abitibi--Baie-James--Nunavik--Eeyou,Quebec,,2004-09-01,,Active
Abitibi--Témiscamingue,Quebec,,2004-05-23,,Active
Acadie--Bathurst,New Brunswick,,1990-12-19,,Active
Ahuntsic-Cartierville,Quebec,Montreal Island,2015-08-02,,Active
Ajax,Ontario,Toronto (City),2015-08-02,,Active
Alberta,Alberta,,,,Not Active
Alfred-Pellan,Quebec,Laval,2004-05-23,,Active
Algoma--Manitoulin--Kapuskasing,Ontario,,2004-05-23,,Active
Argenteuil--La Petite-Nation,Quebec,Ottawa-Gatineau,2015-08-02,,Active
Assiniboia East,Saskatchewan,,,,Not Active
Assiniboia West,Saskatchewan,,,,Not Active
Aurora--Oak Ridges--Richmond Hill,Ontario,Scarborough,2015-08-02,,Active
Avalon,Newfoundland and Labrador,St. John's (NF),2004-05-23,,Active
Avignon--La Mitis--Matane--Matapédia,Quebec,,2015-08-02,,Active
Banff--Airdrie,Alberta,,2015-08-02,,Active
Barrie--Innisfil,Ontario,,2015-08-02,,Active
Barrie--Springwater--Oro-Medonte,Ontario,,2015-08-02,,Active
Battle River--Crowfoot,Alberta,,2015-08-02,,Active
Battlefords--Lloydminster,Saskatchewan,,1997-04-27,,Active
